model_name,accuracy,precision,recall,f1_score,roc_auc,pr_auc,brier_score,ece,fit_time_seconds
LightGBM Classifier,0.704,0.2324,0.7351,0.3531,0.7886,0.3461,0.1906,0.2899,0.24
XGBoost Classifier,0.6929,0.2221,0.7171,0.3391,0.7809,0.329,0.1943,0.2988,0.49
Random Forest Classifier,0.7095,0.2184,0.6375,0.3254,0.7311,0.1953,0.1864,0.2846,0.47
Logistic Regression (Balanced Baseline),0.5464,0.1174,0.4801,0.1887,0.5194,0.1739,0.2499,0.3669,0.09
Stratified Prior Baseline,0.817,0.1152,0.0996,0.1068,0.5,0.1099,0.0979,0.0099,0.0
Majority Class Baseline (Always 0),0.8901,0.0,0.0,0.0,0.5,0.1099,0.0979,0.0099,0.0
